"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice","date","duration","mean_satisfaction_score","mean_services_score","mean_cleanliness_score","mean_product_score"
26,"18:21:49","18:24:41","computer science","iya","binus@semarang","1-2 kali",5,5,5,5,5,5,5,"tidak ada",4,5,4,4,3,4,4,"tidak ada","tidak ada",4,4,5,4,4,4,"tidak ada",2025-04-07,2.87,4.4,5,4,4.17
27,"21:59:39","22:02:10","computer science","iya","binus@semarang","1-2 kali",4,4,2,4,4,4,2,"flow antrian",4,4,4,4,4,4,4,"sudah baik","perbanyak",4,4,4,4,2,2,"porsinya banyakin",2025-04-17,2.52,3.6,3.43,4,3.33
28,"01:11:08","01:23:38","computer science","iya","binus@semarang",">4 kali",5,5,5,5,3,2,4,"tidak ada",3,4,5,2,2,4,3,"meja terkadang kotor bekas makanan, perlu lebih sering dibersihkan. kucing kadang naik meja/kursi, tidak higienis.","tidak ada",5,4,5,4,3,4,"tidak ada",2025-04-18,12.5,3.85,4.14,3.29,4.17
29,"01:39:36","01:42:24","computer science","iya","binus@semarang","1-2 kali",5,5,5,4,5,5,5,"tidak ada",4,5,2,3,3,4,4,"tidak ada","tidak ada",4,5,5,5,2,4,"tidak ada",2025-04-18,2.8,4.2,4.86,3.57,4.17
30,"15:31:09","15:35:50","computer science","iya","binus@malang","1-2 kali",5,4,3,4,3,2,5,"mungkin, meskipun sudah ditekankan pembayaran secara online, seharusnya masih bisa dilakukan pembayaran secara cash di outlet2 tertentu, agar lebih memudahkan saat pembelian makanan/minuman",5,4,3,4,2,5,4,"tidak ada","vending machine",5,4,4,4,3,3,"tidak ada",2025-04-19,4.68,3.8,3.71,3.86,3.83
31,"19:57:19","20:00:32","computer science","iya","binus@malang","0 kali",4,4,4,4,5,5,5,"tidak ada",4,3,4,4,3,4,4,"tidak ada","tempat duduknya jangan di tempat yang panas, dan bisa diberi kursi dan meja lebih banyak lagi",4,5,5,4,5,5,"tidak ada",2025-04-19,3.22,4.25,4.43,3.71,4.67
32,"22:52:15","22:58:36","public relations","iya","binus@malang","1-2 kali",4,4,4,4,4,4,4,"untuk pelayanan mungkin tolong lebih ramah lagi ke mahasiswa kalo kita mau belanja karena kadang kalau mau belanja jadi keduluan ga mood.",4,4,4,4,4,4,4,"tempat duduknya agar ada yang membersihkan setiap selesai makan, atau kalau bisa diberi sign untuk membersihkan meja masing masing setelah dipakai dan kenakan teguran saja jika tidak membersihkan meja terutama tidak mengelap meja jika menumpahkan sesuatu itu jadi buat jengkel kalau mau duduk.","mohon tambahkan kanopi atau payung untuk bagian kursi yg terkena panas dan wastafel di kantin belakang.",4,4,4,4,4,4,"tidak ada",2025-04-19,6.35,4,4,4,4
33,"11:44:04","11:45:38","communication - marketing communication","iya","binus@malang","3-4 kali",5,5,5,5,5,5,5,"no",5,5,5,5,5,5,5,"nono","game",5,5,5,5,5,5,"tambah tenant",2025-04-20,1.57,5,5,5,5
34,"12:34:07","12:35:32","information systems","iya","binus@semarang","3-4 kali",4,4,5,4,5,5,4,"tidak ada",4,4,5,4,4,4,5,"tidak ada","tidak ada",4,5,4,4,4,5,"tidak ada",2025-04-21,1.42,4.35,4.43,4.29,4.33
35,"13:04:02","13:07:27","information systems","iya","binus@semarang","1-2 kali",3,2,5,5,5,5,5,"dibanyakin varian menunyaa lagii",5,5,5,5,5,5,5,"-","diperluas area kantinnya",5,5,5,5,5,5,"-",2025-04-21,3.42,4.75,4.29,5,5
36,"12:04:37","12:06:56","information systems","iya","binus@semarang","1-2 kali",3,3,3,4,4,4,4,"tidak ada",4,3,3,3,4,4,4,"tidak ada","tidak ada",4,4,4,4,2,4,"tidak ada",2025-04-22,2.32,3.6,3.57,3.57,3.67
37,"12:17:26","12:19:50","data science","iya","binus@bandung","1-2 kali",3,4,5,4,4,5,4,"tidak ada",5,5,5,4,5,5,5,"tidak ada","tidak ada",5,5,5,5,5,5,"tidak ada",2025-04-22,2.4,4.65,4.14,4.86,5
38,"12:18:49","12:22:32","computer science","iya","binus@malang","3-4 kali",4,4,4,5,5,5,5,"tidak ada",5,5,3,4,4,5,5,"tidak ada","tidak ada",4,3,4,4,5,5,"tidak ada",2025-04-22,3.72,4.4,4.57,4.43,4.17
